Acceleration,Velocity,Orientation,Obstacle,GPS
"[0.038221955, -0.011636376, 0.010043144]","[8.27231, -3.8124354, 1.4980733]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.01672247, -0.020747125, 0.031794548]","[8.273224, -3.8102689, 1.4996331]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.032554895, 0.005570948, -0.011892319]","[8.27396, -3.8084793, 1.5031271]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.030470133, -0.029839337, -0.007964134]","[8.28076, -3.7927608, 1.5018896]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0034590662, -0.017479718, 0.010735512]","[8.28189, -3.7900634, 1.5049807]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.017325133, -0.010736525, -0.0025138855]","[8.28104, -3.7921288, 1.5031188]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.014009833, -0.0035945177, 0.014750481]","[8.2807, -3.7929158, 1.5010986]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.018628508, -0.031206131, 0.022823334]","[8.282715, -3.7882764, 1.501146]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.000852257, 0.071018994, 0.018961906]","[8.28314, -3.7872617, 1.5043985]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.014555454, 0.007396102, -0.024909973]","[8.283936, -3.7856028, 1.498068]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.00888145, -0.003966689, -0.027294159]","[8.285706, -3.7813234, 1.5035545]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.024626255, 0.0027724504, 0.013479233]","[8.27826, -3.7984838, 1.5053575]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.003735721, 0.014879823, -0.03652191]","[8.27939, -3.7958524, 1.5055898]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.01287964, 0.029031575, 0.0124082565]","[8.27194, -3.8129475, 1.5085031]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.010427266, -0.008677602, 0.019249916]","[8.27927, -3.7960334, 1.5080688]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0012257993, 0.005218625, -0.005050659]","[8.27225, -3.8123243, 1.5066414]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.021123618, 0.007234633, -0.03523159]","[8.270935, -3.8150573, 1.5156689]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.02782327, -0.015784562, 0.00092315674]","[8.27246, -3.8115067, 1.5176848]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.026130319, -0.0015217662, -0.015572548]","[8.27927, -3.7958739, 1.5136952]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
